Title,Image,Category,Price,Price1,sales_count,ratings,review_counts
Micro Alligator Forceps 3.5″ Serrated Jaws | SM4474,https://surgicalmart.com/wp-content/uploads/2023/05/micro-alligator-forceps-3-5inch-ophthalmic-lab-surgery-surgicalmart-247x247.jpg,alligator & curette,23.62,12.99,124,4.4,99
Spratt Brun Bone Curette 6.5″ (16.5cm) Oval Cup Size 0 | SM5156,https://surgicalmart.com/wp-content/uploads/2024/10/spratt-brun-bone-curette-6-5-oval-cup-0-surgicalmart-247x247.jpg,alligator & curette,14.52,7.99,119,3.7,46
Miller Laryngoscope Blade #1 Conventional | SM4212,https://surgicalmart.com/wp-content/uploads/2023/10/miller-blade-1-surgicalmart-247x247.jpg,anesthesia,18.15,9.99,989,3.1,424
5 Pcs Miller Conventional Laryngoscope Set with Handle & Case | SM2783,https://surgicalmart.com/wp-content/uploads/2022/02/miller-laryngoscope-set-6-pcs-with-carrying-case-surgicalmart-247x247.jpg,anesthesia,81.8,44.99,981,4.5,236
Miller Laryngoscope Blade #2 Conventional | SM4213,https://surgicalmart.com/wp-content/uploads/2023/10/miller-conventional-blade-2-surgicalmart-1-247x247.jpg,anesthesia,18.15,9.99,974,4.6,350
Fiber Optic Miller Blade #3 with Laryngoscope Medium Handle | SM4233,https://surgicalmart.com/wp-content/uploads/2023/10/fiber-optic-miller-blade-3-with-handle-surgicalmart-247x247.jpg,anesthesia,45.45,24.99,962,2.1,376
11 Pcs Fiber Optic Macintosh & Miller Combo Laryngoscope Set | SM2791,https://surgicalmart.com/wp-content/uploads/2022/04/11-pcs-fiber-optic-macintosh-miller-combo-laryngoscope-set-surgicalmart-1-247x247.jpg,anesthesia,181.8,99.99,954,4.6,447
4 Pcs McCoy Flexi-Tip Fiber Optic Laryngoscope Set Blade #2 #3 #4 with Medium Handle | SM4254,,anesthesia,90.89,49.99,948,1.1,258
Macintosh Laryngoscope Set of 4 Blades 1 Standard Handle | SM1594,https://surgicalmart.com/wp-content/uploads/2022/02/4-pcs-macintosh-conventional-laryngoscope-set-with-handle-surgicalmart-247x247.jpg,anesthesia,54.52,29.99,945,2.0,344
6 Magill Forceps 6″ Infant | SM3850,,anesthesia,52.25,28.74,931,2.3,372
Mac Blade #4 with Conventional Laryngoscope Medium Handle | SM4210,https://surgicalmart.com/wp-content/uploads/2023/02/mac-blade-4-with-conventional-laryngoscope-medium-handle-surgicalmart-247x247.jpg,anesthesia,32.7,17.99,928,1.8,463
Miller Fiber Optic Laryngoscope Blade #3 | SM4219,https://surgicalmart.com/wp-content/uploads/2023/10/miller-fiber-optic-blade-3-reusable-surgicalmart-247x247.jpg,anesthesia,25.45,13.99,921,3.1,408
Conventional Laryngoscope Small Handle | SM2892,https://surgicalmart.com/wp-content/uploads/2024/10/conventional-laryngoscope-small-handle-surgicalmart-247x247.jpg,anesthesia,23.62,12.99,920,4.1,485
100 Pcs Magill Catheter Forceps 8″ Child | SM3854,,anesthesia,681.81,374.99,902,3.8,299
5 Pcs McCoy Flexi-Tip Fiber Optic Laryngoscope Set with Carrying Case | SM4255,,anesthesia,99.99,54.99,885,3.9,351
Miller Fiber Optic Laryngoscope Blade #1 | SM4217,https://surgicalmart.com/wp-content/uploads/2023/10/miller-fiber-optic-blade-1-reusable-surgicalmart-247x247.jpg,anesthesia,25.45,13.99,877,2.3,492
5 Pcs Macintosh Fiber Optic Laryngoscope Set – Reusable | SM4241,https://surgicalmart.com/wp-content/uploads/2023/10/5pcs-macintosh-fiber-optic-laryngoscope-set-surgicalmart-247x247.jpg,anesthesia,109.08,59.99,859,2.2,325
4 Pcs Macintosh Fiber Optic Laryngoscope Set with Handle | SM2782,https://surgicalmart.com/wp-content/uploads/2022/02/4-pc-macintosh-fiber-optic-laryngoscope-set-with-handle-surgicalmart-247x247.jpg,anesthesia,118.15,64.99,846,2.1,184
"4 Macintosh Fiber Optic Blades #1, #2, #3, #4  | SM4240",https://surgicalmart.com/wp-content/uploads/2023/10/4-macintosh-fiber-optic-blades-set-surgicalmart-247x247.jpg,anesthesia,63.62,34.99,837,3.9,383
Miller Fiber Optic Laryngoscope Blade #0 | SM4216,https://surgicalmart.com/wp-content/uploads/2023/10/miller-fiber-optic-blade-0-reusable-surgicalmart-247x247.jpg,anesthesia,25.45,13.99,832,1.6,223
6 Pcs Miller Fiber Optic Laryngoscope Set – Reusable | SM4228,https://surgicalmart.com/wp-content/uploads/2023/10/6pcs-miller-fiber-optic-laryngoscope-set-surgicalmart-247x247.jpg,anesthesia,99.99,54.99,830,4.9,419
Magill Catheter Forceps 8″ Child | SM3847,,anesthesia,18.15,9.99,819,3.5,499
Mac Blade #0 with Conventional Laryngoscope Medium Handle | SM4206,https://surgicalmart.com/wp-content/uploads/2023/02/mac-blade-with-conventional-medium-handle-surgicalmart-247x247.jpg,anesthesia,32.7,17.99,787,2.8,68
Macintosh Blade #1 with Fiber Optic Laryngoscope Medium Handle | SM4243,,anesthesia,45.45,24.99,777,2.2,353
Macintosh Conventional Laryngoscope Blade #0 | SM4201,https://surgicalmart.com/wp-content/uploads/2023/02/laryngoscope-mac-blade-0-surgicalmart-247x247.jpg,anesthesia,18.15,9.99,746,1.5,306
Macintosh Blade #4 with Fiber Optic Laryngoscope Medium Handle | SM4246,,anesthesia,45.45,24.99,738,3.7,290
Fiberoptic Laryngoscope Handle Medium EMT Anesthesia | SM2785,https://surgicalmart.com/wp-content/uploads/2022/03/laryngoscope-fiberoptic-handles-surgicalmart-247x247.jpg,anesthesia,29.09,15.99,727,2.3,196
McCoy Laryngoscope Blade #2 with Fiber Optic Medium Handle | SM4251,https://surgicalmart.com/wp-content/uploads/2023/10/mccoy-laryngoscope-blade-2-with-fiber-optic-handle-surgicalmart-247x247.jpg,anesthesia,49.08,26.99,713,2.5,257
6 Pcs Miller Conventional Laryngoscope Set – Reusable | SM4229,https://surgicalmart.com/wp-content/uploads/2023/10/6pcs-miller-conventional-laryngoscope-set-surgicalmart-247x247.jpg,anesthesia,63.62,34.99,695,1.9,186
Laryngoscope Replacement Bulb – Small | SM2788,https://surgicalmart.com/wp-content/uploads/2022/03/laryngoscope-bulb-small-surgicalmart-247x247.jpg,anesthesia,12.49,6.86,676,1.6,111
Miller Laryngoscope Blade #3 Conventional | SM4214,https://surgicalmart.com/wp-content/uploads/2023/10/miller-conventional-blade-3-surgicalmart-247x247.jpg,anesthesia,18.15,9.99,653,2.4,487
Fiberoptic Laryngoscope Handle Small | SM2891,https://surgicalmart.com/wp-content/uploads/2024/10/fiberoptic-laryngoscope-handle-small-surgicalmart-247x247.jpg,anesthesia,29.08,15.99,647,3.9,343
"5 Fiber Optic Miller Blades #0, #1, #2, #3, #4 | SM4227",https://surgicalmart.com/wp-content/uploads/2023/10/5-fiber-optic-miller-blades-set-reusable-surgicalmart-247x247.jpg,anesthesia,72.7,39.99,600,1.9,456
Mac Blade #1 with Conventional Laryngoscope Medium Handle | SM4207,https://surgicalmart.com/wp-content/uploads/2023/02/mac-blade-1-with-conventional-laryngoscope-medium-handle-surgicalmart-247x247.jpg,anesthesia,32.7,17.99,592,2.0,244
Fiberoptic Miller Laryngoscope Set with Handle & Case | SM2790,https://surgicalmart.com/wp-content/uploads/2022/04/6-pcs-fiberoptic-miller-laryngoscope-set-handle-case-surgicalmart-247x247.jpg,anesthesia,109.08,59.99,556,2.1,361
100 Pcs Magill Catheter Forceps 10″ Adult | SM3855,https://surgicalmart.com/wp-content/uploads/2022/12/100pcs-magill-catheter-forceps-10inch-adult-surgicalmart-247x247.jpg,anesthesia,681.81,374.99,547,1.3,465
Fiber Optic Miller Blade #2 with Laryngoscope Medium Handle | SM4232,https://surgicalmart.com/wp-content/uploads/2023/10/fiber-optic-miller-blade-2-with-handle-surgicalmart-247x247.jpg,anesthesia,45.45,24.99,542,1.7,250
McCoy Laryngoscope Blade #3 with Fiber Optic Medium Handle | SM4252,https://surgicalmart.com/wp-content/uploads/2023/10/mccoy-laryngoscope-blade-3-with-fiber-optic-handle-surgicalmart-247x247.jpg,anesthesia,49.08,26.99,539,4.0,153
Macintosh Fiber Optic Laryngoscope Blade #2 Anesthesia Intubation | SM4237,https://surgicalmart.com/wp-content/uploads/2023/10/macintosh-fiber-optic-blade-2-surgicalmart-247x247.jpg,anesthesia,25.45,13.99,528,1.2,498
6 Pcs Magill Catheter Forceps 8″ Child | SM3851,,anesthesia,54.53,29.99,521,4.8,188
Macintosh Blade #0 with Fiber Optic Laryngoscope Medium Handle | SM4242,,anesthesia,43.62,23.99,503,2.9,353
Laryngoscope Mac Set of 8 Pcs with 2 Free Bulbs & Zipper Case | SM2789,https://surgicalmart.com/wp-content/uploads/2022/03/8-pcs-macintosh-laryngoscope-set-extra-bulbs-emt-shears-magil-forceps-surgicalmart-247x247.jpg,anesthesia,90.88,49.99,497,5.0,398
"3 McCoy Fiber Optic Flex Tip Laryngoscope Blades #2, #3 & #4 | SM4250",,anesthesia,72.7,39.99,489,2.3,301
Miller Laryngoscope Blade #4 Conventional | SM4215,https://surgicalmart.com/wp-content/uploads/2023/10/miller-conventional-blade-4-surgicalmart-1-247x247.jpg,anesthesia,18.15,9.99,470,4.7,95
Macintosh Blade #2 with Fiber Optic Laryngoscope Medium Handle | SM4244,,anesthesia,45.45,24.99,439,3.6,169
100 Pcs Magill Forceps 6″ Infant | SM3853,https://surgicalmart.com/wp-content/uploads/2022/12/100pcs-magill-catheter-forceps-6inch-infant-surgicalmart-247x247.jpg,anesthesia,681.81,374.99,424,2.0,300
Macintosh Fiber Optic Laryngoscope Blade #4 Anesthesia Intubation | SM4239,,anesthesia,25.45,13.99,417,2.8,62
"5 Miller Laryngoscope Blades #0, #1, #2, #3, #4 – Conventional | SM4226",https://surgicalmart.com/wp-content/uploads/2023/10/5-miller-laryngoscope-blades-set-conventional-surgicalmart-247x247.jpg,anesthesia,54.52,29.99,416,1.9,154
Miller Blade #4 with Conventional Laryngoscope Medium Handle | SM4225,https://surgicalmart.com/wp-content/uploads/2023/10/miller-blade-4-with-conventional-laryngoscope-handle-surgicalmart-247x247.jpg,anesthesia,34.52,18.99,407,2.2,417
Macintosh Fiber Optic Laryngoscope Blade #1 Anesthesia Intubation | SM4236,,anesthesia,25.45,13.99,400,1.4,198
Macintosh Blade #3 with Fiber Optic Laryngoscope Medium Handle | SM4245,https://surgicalmart.com/wp-content/uploads/2023/10/2pcs-macintosh-fiber-optic-blade-3-with-handle-surgicalmart-247x247.jpg,anesthesia,45.45,24.99,396,3.1,300
Magill Forceps 6″ Infant | SM1595,https://surgicalmart.com/wp-content/uploads/2017/05/magill-catheter-forceps-6inch-infant-surgicalmart-247x247.jpg,anesthesia,15.88,8.74,392,1.8,335
Volkman Hook Retractor 8.5″ Blunt 1 Prong with Ring Handle | SM1548,,awls & bone hooks,16.35,8.99,37,4.3,58
6 Pcs Plate and Bone Holding Forceps 5.5″ with Footplate | SM3646,,bone forceps,109.08,59.99,999,3.3,376
5 Bone Reduction Forceps 8″ Long Ratchet with Gold Plated Handle| SM3650,https://surgicalmart.com/wp-content/uploads/2023/07/5-bone-reduction-forceps-gold-handle-surgicalmart-247x247.jpg,bone forceps,181.8,99.99,947,2.1,441
3 Plate Bone Holding Reduction Forceps Set 5.5″ Gold Handle | SM5165,,bone forceps,109.08,59.99,917,2.8,486
3 Pcs Plate and Bone Holding Forceps 5.5″ with Footplate | SM3645,,bone forceps,59.99,32.99,909,1.9,275
10 Bone Reduction Forceps 8″ Long Ratchet with Gold Plated Handle | SM4580,https://surgicalmart.com/wp-content/uploads/2023/07/10-bone-reduction-forceps-gold-handle-surgicalmart-247x247.jpg,bone forceps,327.25,179.99,747,2.9,415
Verbrugge Bone Holding Forceps 7″ with Ratchet Finger Style Premium Quality | SM1612,,bone forceps,75.93,41.76,604,3.7,79
Verbrugge Bone Holding Forceps 7 1/2″ Self Centering with Speed Lock Premium Quality | SM1611,,bone forceps,104.05,57.23,552,3.2,271
Verbrugge Bone Holding Forceps 6″ Self Centering with Speed Lock Premium Quality | SM1610,,bone forceps,75.93,41.76,514,1.0,306
Plate and Bone Holding Forceps 5.5″ with Footplate | SM1605,https://surgicalmart.com/wp-content/uploads/2017/05/plate-bone-holding-forceps-14cm-surgicalmart-247x247.jpg,bone forceps,21.8,11.99,428,4.4,408
Verbrugge Bone Holding Forceps 10″ with RaTChet Finger Style Premium Quality | SM1607,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM1607-247x247.jpg,bone forceps,75.93,41.76,412,2.2,133
Verbrugge Bone Holding Forceps 9 1/2″ Self Centering with Speed Lock Premium Quality | SM1613,,bone forceps,123.74,68.05,382,2.0,333
2 Bone Reduction Forceps 8″ Long Ratchet with Gold Plated Handle| SM3649,https://surgicalmart.com/wp-content/uploads/2023/07/2-bone-reduction-forceps-gold-handle-surgicalmart-247x247.jpg,bone forceps,79.99,43.99,379,4.9,235
Pelvic Reduction Forceps 7 3/4″ Angled Short Ball Tips | SM1614,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM1614-247x247.jpg,bone forceps,88.11,48.46,376,4.9,402
Verbrugge Bone Holding Forceps 6.75″ with RaTChet Finger Style Premium Quality | SM1609,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM1609-247x247.jpg,bone forceps,72.18,39.7,285,2.0,400
Verbrugge Bone Holding Forceps 11″ Self Centering with Speed Lock Premium Quality | SM1608,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM1608-247x247.jpg,bone forceps,169.68,93.33,228,1.9,432
12 Pcs Plate & Bone Holding Forceps Set 5.5″ | SM3647,,bone forceps,181.8,99.99,215,2.0,339
Bone Reduction Forceps 8″ Long Ratchet with Gold Plated Handle| SM1603,,bone forceps,45.45,24.99,118,2.2,10
Plate and Bone Holding Forceps 5.5″ with Footplate & Gold Handle | SM5164,https://surgicalmart.com/wp-content/uploads/2024/11/plate-bone-holding-forceps-14cm-gold-handle-surgicalmart-247x247.jpg,bone forceps,39.99,21.99,55,3.1,385
Verbrugge Bone Holding Forceps 10″ Self Centering with Speed Lock Premium Quality | SM1606,https://surgicalmart.com/wp-content/uploads/2017/06/SurgicalMart-SM1606-247x247.jpg,bone forceps,132.18,72.7,28,2.2,225
Lucae Bone Mallet – 7½” (200 Grams) | SM1521,,bone mallets & tamps,90.89,49.99,386,2.8,235
2 Dieffenbach Serrefine Clamps 1.5″ (3.8cm) Straight Curved | SM4967,,bulldog clamps,59.99,32.99,929,4.3,249
Dieffenbach Serrefine Clamp 1 1/2″ (3.8cm) Curved | SM4965,,bulldog clamps,32.7,17.99,676,4.3,55
2 Dieffenbach Serrefine Clamps 2.25″ (5.7cm) Straight Curved | SM4968,,bulldog clamps,63.62,34.99,548,3.4,300
Dieffenbach Serrefine Clamp 2 1/4″ (5.7cm) Curved | SM4966,,bulldog clamps,34.52,18.99,370,3.0,144
Dieffenbach Serrefine Bulldog Clamp 2 1/4″ (5.7cm) Straight | SM4964,https://surgicalmart.com/wp-content/uploads/2024/07/dieffenbach-serrefine-bulldog-clamp-2-25-straight-surgicalmart-247x247.jpg,bulldog clamps,34.52,18.99,85,1.6,113
Dieffenbach Serrefine Clamp 1 1/2″ (3.8cm) Straight | SM4963,https://surgicalmart.com/wp-content/uploads/2024/07/dieffenbach-serrefine-bulldog-clamp-1-5-straight-surgicalmart-247x247.jpg,bulldog clamps,32.7,17.99,77,1.8,434
DeBakey Atraumatic Ring Handle Bulldog Clamp 5″ Curved | SM4806,https://surgicalmart.com/wp-content/uploads/2024/04/debakey-ring-handled-bulldog-clamp-5-curved-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,36.35,19.99,972,2.4,411
Debakey Aortic Aneurysm Clamp 12″ Curved 110mm Atraumatic 1×2 Teeth Jaws | SM4799,,cardiovascular and thoracic instruments,49.08,26.99,949,1.5,178
Debakey Peripheral Vascular Clamps 7.75″ Curved 90mm Atraumatic Jaws | SM4797,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-peripheral-vascular-clamps-7-75-curved-90mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,32.7,17.99,928,3.3,420
Debakey Beck Atraumatic Vena-Cava Clamp 8″ Double Angled 65mm Jaws | SM4792,https://surgicalmart.com/wp-content/uploads/2024/09/debakey-beck-atraumatic-vena-cava-clamp-8-double-angled-65mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,45.45,24.99,879,1.6,431
DeBakey Tangential Occlusion Clamps 11″ Double Angled 75mm Long x 17mm Deep Jaws | SM4793,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-tangential-occlusion-clamp-11-double-angled-75x17mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,52.7,28.99,860,3.4,478
Debakey Multi-Purpose Clamp 6.5” Angled 30º 3.5cm Long Atraumatic Jaws | SM4804,https://surgicalmart.com/wp-content/uploads/2024/04/debakey-multi-purpose-atraumatic-clamp-30-angled-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,45.45,24.99,791,3.6,185
Debakey Atraumatic Aortic Aneurysm Clamps 10.75″ Full Curved 111mm Jaws | SM4791,,cardiovascular and thoracic instruments,49.08,26.99,616,3.3,124
Debakey Peripheral Vascular Clamps 6.5″ Curved 56mm Atraumatic Jaws | SM4798,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-peripheral-vascular-clamps-6-5-curved-56mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,27.25,14.99,613,1.9,392
DeBakey-Satinsky Vena Cava Clamp 8.25″ Double Angled | SM4680,,cardiovascular and thoracic instruments,45.25,24.99,606,3.6,313
Cooley Derra Pediatric Vascular Clamp 6.5″ For Anastomosis – Medium | SM4802,https://surgicalmart.com/wp-content/uploads/2024/04/cooley-derra-pediatric-anastomosis-clamp-6-5-medium-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,36.35,19.99,578,2.3,238
Debakey Atraumatic Multi-Purpose Clamps 6.75″ Curved Downwards 78mm Jaws | SM4794,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-atraumatic-multipurpose-clamp-6-75-curved-down-78mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,27.25,14.99,562,2.6,310
DeBakey-Satinsky Vena Cava Clamp 9.5″ Double Angled | SM4681,https://surgicalmart.com/wp-content/uploads/2024/02/debakey-satinsky-vena-cava-vascular-clamp-9-5inch-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,49.08,26.99,560,1.7,474
Debakey Bainbridge Vascular Forceps 8.5″ Curved 2.5″ Atraumatic Jaws | SM4808,,cardiovascular and thoracic instruments,41.8,22.99,535,1.2,29
Debakey Aortic Aneurysm Clamp 10″ Curved 95mm Atraumatic 1×2 Teeth Jaws | SM4800,,cardiovascular and thoracic instruments,45.45,24.99,361,2.2,293
Cooley Derra Pediatric Vascular Clamp 6.5″ For Anastomosis – Large | SM4803,https://surgicalmart.com/wp-content/uploads/2024/04/cooley-derra-pediatric-anastomosis-clamp-6-5-large-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,39.99,21.99,276,2.7,462
Cooley Derra Pediatric Vascular Clamp 6.5″ For Anastomosis – Small | SM4801,https://surgicalmart.com/wp-content/uploads/2024/04/cooley-derra-pediatric-anastomosis-clamp-6-5-small-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,36.35,19.99,261,2.3,215
DeBakey-Rumel Atraumatic Forceps 9″ Curved Serrated Jaws | SM4679,https://surgicalmart.com/wp-content/uploads/2024/02/debakey-rumel-atraumatic-forceps-clamp-9inch-curved-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,49.08,26.99,249,2.8,150
Harken Auricle Clamp 10” Curved #1 | SM4807,https://surgicalmart.com/wp-content/uploads/2024/07/debakey-harken-auricle-clamp-10-curved-1-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,45.45,24.99,84,3.1,361
Debakey Peripheral Vascular Clamps 8″ Curved 93mm Atraumatic Jaws | SM4796,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-peripheral-vascular-clamps-8-curved-93mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,34.52,18.99,49,4.7,267
NABATOFF Vein Stripper Set with Sterilizer Case | SM4592,https://surgicalmart.com/wp-content/uploads/2023/07/nabatoff-vein-stripper-set-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,39.99,21.99,49,4.6,318
DeBAKEY Ring Handled Bulldog Clamps 45º Angled 4 7/8″ Curved Shanks | SM4805,https://surgicalmart.com/wp-content/uploads/2024/04/debakey-ring-handled-bulldog-clamps-45-degree-curved-shanks-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,36.35,19.99,33,1.1,291
Debakey Atraumatic Vascular Clamps 9″ Angled 80mm Jaws | SM4795,https://surgicalmart.com/wp-content/uploads/2024/08/debakey-atrauma-vascular-clamps-9-angled-80mm-jaws-surgicalmart-247x247.jpg,cardiovascular and thoracic instruments,32.7,17.99,3,3.5,304
BRUNS Plaster Shears 9 1/2″ Serrated Blade | SM1971,https://surgicalmart.com/wp-content/uploads/2017/05/bruns-plaster-cast-shear-9-5inch-serrated-blade-surgicalmart-247x247.jpg,cast instruments,27.25,14.99,912,3.5,347
5 BRUNS Plaster Shears Set 9 1/2″ Serrated Blade | SM3628,,cast instruments,118.15,64.99,708,2.6,226
2 BRUNS Plaster Shears Set 9 1/2″ Serrated Blade | SM3627,https://surgicalmart.com/wp-content/uploads/2023/04/2-bruns-plaster-shears-surgicalmart-247x247.jpg,cast instruments,49.08,26.99,283,1.2,160
10 BRUNS Plaster Shears Set 9 1/2″ Serrated Blade | SM3629,https://surgicalmart.com/wp-content/uploads/2023/04/10-bruns-plaster-shears-surgicalmart-247x247.jpg,cast instruments,199.99,109.99,31,4.0,359
T/C Goldman Fox Scissors 5″ (12.7cm) Straight | SM1982,https://surgicalmart.com/wp-content/uploads/2017/05/goldman-fox-tc-scissor-5inch-straight-surgicalmart-247x247.jpg,dental instruments,23.62,12.99,995,1.4,247
Iris Scissors 4.5″ Straight Surgical Dental | SM1301,https://surgicalmart.com/wp-content/uploads/2017/05/iris-scissors-4-5-straight-surgcialmart-247x247.jpg,dental instruments,15.45,8.49,945,4.1,388
5 Iris Scissors 4.5″ Straight | SM2001,,dental instruments,74.52,40.99,936,1.3,299
2 Iris Scissors 4.5″ Straight Surgical Dental | SM2002,https://surgicalmart.com/wp-content/uploads/2017/05/2-iris-scissors-4-5-straight-surgcialmart-247x247.jpg,dental instruments,21.8,11.99,868,1.1,361
