User_Type,Budget($),Purchased_Items
Procurement Officer,6819,"SM1805, SM4514, SM4332, SM3555"
Procurement Officer,7252,"SM2943, SM2602, SM1761, SM1910, SM3767"
Surgeon,5040,"SM4245, SM2726, SM3227, SM4813, SM4678"
Surgeon,7718,"SM4594, SM3128, SM3854"
Clinic,16586,"SM5186, SM4968"
Surgeon,12458,"SM1795, SM2439, SM2133, SM2877"
Procurement Officer,3058,SM2460
Procurement Officer,6376,"SM1631, SM3255"
Procurement Officer,8734,"SM4899, SM1930, SM2127, SM3145, SM0726"
Clinic,11242,"SM3034, SM4654, SM2887"
Hospital,11862,"SM1820, SM4516, SM3521, SM4505"
Surgeon,4233,"SM2015, SM2586, SM2760, SM5048, SM3768"
Procurement Officer,8904,"SM4551, SM3072, SM2932, SM4638"
Procurement Officer,7406,"SM1863, SM1840"
Clinic,8237,SM3140
Hospital,28098,"SM4604, SM3141"
Procurement Officer,7472,"SM4526, SM3109, SM2710, SM4227"
Hospital,32306,SM3242
Procurement Officer,5658,"SM2590, SM4632"
Clinic,11637,"SM2551, SM3518, SM2119, SM3269"
Clinic,16991,"SM1733, SM4419, SM1924"
Hospital,10969,"SM2109, SM1714"
Clinic,9286,"SM1829, SM1846, SM3289"
Hospital,39642,"SM5141, SM2161"
Hospital,44639,SM2037
Hospital,31330,SM2826
Surgeon,7301,"SM1866, SM2554"
Hospital,18342,SM4201
Hospital,47809,"SM2064, SM2150, SM2765, SM4561"
Hospital,26073,"SM4355, SM5229, SM1965"
Hospital,32973,SM3582
Surgeon,10484,"SM3230, SM5203"
Surgeon,5264,"SM4327, SM2562, SM4647, SM2135, SM4655"
Hospital,25521,SM2084
Surgeon,13581,"SM3270, SM3152, SM5167, SM3583"
Clinic,7057,SM3113
Hospital,26802,"SM4307, SM1592, SM5144"
Hospital,37715,"SM4792, SM2057, SM3795"
Surgeon,12710,SM2938
Procurement Officer,6798,"SM2936, SM3572, SM2488, SM1603, SM4483"
Surgeon,12994,"SM5200, SM2492, SM5205, SM4983"
Surgeon,8225,"SM1658, SM3202, SM4796"
Hospital,30708,"SM3581, SM3268"
Surgeon,7941,"SM1861, SM2468, SM2112"
Procurement Officer,9532,"SM3028, SM2082, SM3001, SM2487, SM4685"
Procurement Officer,7098,"SM3794, SM4863, SM1939, SM1759, SM3715"
Surgeon,6210,"SM3570, SM3779, SM1868, SM1737"
Clinic,5910,SM4402
Procurement Officer,7394,"SM2628, SM5229, SM1711"
Procurement Officer,9059,"SM2008, SM2161, SM3160"
Hospital,19569,"SM2006, SM1911"
Surgeon,7767,"SM3847, SM4343, SM2737"
Clinic,19924,"SM5115, SM3129, SM4625"
Clinic,6383,SM3564
Procurement Officer,5023,"SM3142, SM4519"
Surgeon,8531,"SM2572, SM4480, SM2587"
Hospital,23076,SM3731
Procurement Officer,8995,"SM4270, SM5036"
Clinic,5001,SM1695
Clinic,11112,"SM3791, SM4421, SM2844"
Surgeon,14193,"SM2747, SM3143, SM2465, SM2820"
Hospital,30286,"SM3260, SM2128, SM4327, SM2721"
Clinic,17815,SM4840
Hospital,24967,"SM3244, SM1709, SM2937, SM3125, SM1937"
Procurement Officer,6356,"SM2826, SM4865, SM1973, SM2859, SM1024"
Surgeon,13433,"SM3710, SM5155"
Surgeon,13144,"SM4220, SM3520, SM1676, SM2859, SM2673"
Hospital,34523,"SM2849, SM2726, SM4563, SM4962"
Surgeon,9688,"SM2490, SM2558, SM5122"
Clinic,16104,SM4982
Hospital,29073,SM4202
Hospital,48127,"SM1779, SM5055, SM4807"
Hospital,12205,"SM2454, SM1866"
Procurement Officer,6407,"SM4210, SM2834, SM1921"
Clinic,14383,"SM5130, SM3139"
Hospital,39320,"SM5115, SM2812"
Clinic,11638,"SM5147, SM4254"
Procurement Officer,4318,SM4805
Procurement Officer,4875,SM4802
Procurement Officer,9546,"SM1780, SM4490, SM4340, SM4205"
Clinic,17071,"SM1945, SM1594"
Surgeon,3426,"SM3557, SM1685, SM2446, SM2150"
Procurement Officer,2641,"SM2014, SM4976, SM2454, SM4524, SM3747"
Clinic,17921,"SM4688, SM2942, SM4567, SM4367, SM2052"
Surgeon,10187,"SM2657, SM4858, SM4797, SM4850, SM3798"
Surgeon,14839,SM3226
Clinic,18001,SM2062
Hospital,45018,"SM4859, SM2636, SM4950"
Procurement Officer,3720,"SM3069, SM2622, SM2687"
Surgeon,7554,"SM2030, SM4551, SM2161, SM1960"
Hospital,30264,SM3518
Clinic,11445,SM1936
Clinic,16519,"SM2714, SM1595, SM5144, SM2783"
Procurement Officer,3293,"SM3081, SM3131"
Surgeon,11062,"SM3725, SM3224"
Clinic,15022,"SM3083, SM2662, SM3733, SM4209, SM1890"
Surgeon,4077,"SM3550, SM1957, SM2831, SM3701, SM3226"
Clinic,14053,SM1677
Procurement Officer,6323,"SM2710, SM4453"
Hospital,38933,"SM4238, SM3764, SM2062"
Surgeon,9942,"SM4629, SM2581, SM4618, SM1683"
Clinic,16951,"SM3539, SM1783"
Surgeon,11600,"SM4209, SM2004, SM5045"
Hospital,11708,"SM5142, SM3118, SM1962, SM2755"
Hospital,33672,"SM4682, SM3056, SM3136, SM4630, SM1821"
Clinic,15026,"SM5108, SM2837, SM2126, SM1773, SM3748"
Surgeon,14920,"SM2761, SM2753"
Hospital,27346,"SM3110, SM2939"
Hospital,11492,"SM3076, SM3718"
Clinic,17439,SM3028
Procurement Officer,7986,"SM1692, SM4600, SM5036, SM2065"
Surgeon,6334,"SM3120, SM4444"
Hospital,24719,"SM4978, SM3716, SM3155, SM3571, SM4432"
Surgeon,6619,"SM1887, SM4798"
Hospital,29328,"SM6153, SM5164, SM5169, SM3098, SM2037"
Clinic,10308,"SM3130, SM5059, SM1863"
Clinic,18259,SM5052
Procurement Officer,9754,"SM1773, SM3070"
Hospital,26348,"SM4324, SM1548, SM4482, SM2810, SM2080"
Procurement Officer,2115,SM2449
Clinic,12667,"SM3218, SM3112"
Procurement Officer,5893,"SM1837, SM2924"
Hospital,43699,"SM3133, SM5155, SM2219, SM2550"
Procurement Officer,4518,"SM4513, SM4574, SM2488"
Surgeon,7976,"SM4545, SM5051, SM1998"
Hospital,29380,"SM4510, SM2064, SM2916"
Procurement Officer,5404,"SM3763, SM4508, SM2707"
Procurement Officer,4634,"SM5224, SM2927, SM1774, SM4407, SM5108"
Hospital,41260,SM4646
Hospital,24457,SM1641
Hospital,11622,"SM2743, SM2892, SM1873, SM2658, SM2819"
Procurement Officer,6642,"SM1808, SM4422, SM1920"
Clinic,10938,"SM2657, SM2644"
Clinic,19021,"SM4318, SM2786, SM2764"
Clinic,6761,"SM2048, SM2144, SM4579, SM2629, SM1920"
Procurement Officer,7744,SM3585
Hospital,12757,"SM4809, SM2163, SM4363"
Hospital,41469,SM2437
Hospital,47503,"SM5196, SM2554, SM4615"
Surgeon,7682,SM2705
Surgeon,10375,"SM1610, SM5168, SM1844"
Procurement Officer,4127,SM5145
Clinic,6765,"SM2040, SM2073"
Hospital,44681,SM1665
Surgeon,10476,"SM4459, SM4443"
Clinic,19376,"SM4968, SM2645, SM2723, SM3068"
Clinic,16960,"SM1942, SM4345"
Procurement Officer,8233,"SM2008, SM1888, SM5229, SM1837"
Procurement Officer,3394,"SM4573, SM4134, SM1804"
Hospital,44865,"SM6149, SM2920, SM1410, SM2715, SM5226"
Hospital,34267,"SM1831, SM2033, SM4896, SM1697"
Procurement Officer,6563,"SM4805, SM3082"
Procurement Officer,8091,SM2696
Clinic,8190,"SM4871, SM1911, SM2880, SM1820"
Hospital,12405,"SM3724, SM3238, SM5154, SM3031, SM2786"
Procurement Officer,4266,"SM3536, SM2881, SM2785, SM3055"
Surgeon,9978,"SM2926, SM2083, SM3072, SM4861, SM1850"
Clinic,14301,"SM4884, SM3540, SM2168, SM4474"
Clinic,5798,"SM4315, SM4235, SM3750"
Surgeon,5735,"SM5056, SM4556"
Hospital,26597,"SM1714, SM1796, SM4867, SM4615"
Hospital,30917,"SM4880, SM2018, SM1410"
Hospital,21111,"SM3739, SM5117, SM2692"
Surgeon,4734,"SM2568, SM5232, SM1854, SM4319, SM1802"
Clinic,10191,"SM2748, SM1846, SM3719, SM4828, SM2076"
Procurement Officer,8703,"SM2219, SM4203, SM4547, SM4321"
Hospital,22066,"SM3573, SM3183, SM4578, SM2832"
Surgeon,4837,"SM2448, SM3113, SM4444"
Procurement Officer,6806,"SM2112, SM2596, SM2120, SM5159, SM4637"
Hospital,19687,"SM1933, SM4607, SM3734"
Clinic,16146,"SM4417, SM4973"
Procurement Officer,4516,SM1811
Hospital,22863,SM3540
Procurement Officer,9752,"SM4855, SM1798, SM2928, SM1828"
Hospital,44798,"SM2083, SM3114, SM2071"
Procurement Officer,4963,"SM3110, SM3135, SM4644, SM1675, SM1763"
Hospital,21781,SM3791
Hospital,40266,"SM1748, SM2861, SM1943, SM3791, SM5178"
Procurement Officer,5105,"SM4229, SM2559, SM5204"
Surgeon,7633,"SM1696, SM2109, SM3238, SM1711, SM4803"
Procurement Officer,8226,"SM2755, SM5180"
Surgeon,11947,"SM1816, SM3585, SM2926"
Hospital,33344,"SM1690, SM4686, SM4648, SM1828, SM2568"
Surgeon,6885,"SM3092, SM1960, SM3223, SM3093, SM3137"
Clinic,16920,"SM4988, SM2742"
Hospital,49802,"SM3106, SM3571"
Procurement Officer,7378,SM4401
Surgeon,10292,"SM5224, SM1797, SM1657, SM4962"
Hospital,16399,"SM3253, SM2145, SM2715"
Clinic,6581,"SM2847, SM3759, SM3557, SM4803"
Procurement Officer,9625,"SM2834, SM4318, SM4670, SM1619"
Hospital,34935,"SM4449, SM5043"
Clinic,15078,"SM2081, SM4441"
Clinic,16428,"SM2038, SM2711, SM4624, SM1754"
Procurement Officer,5457,"SM2701, SM4210"
Surgeon,3442,"SM1748, SM1783, SM3127, SM3561, SM2699"
Surgeon,5333,SM1876
Procurement Officer,8864,SM2738
Procurement Officer,9639,SM5175
Procurement Officer,2667,"SM4855, SM1871, SM3573, SM1690, SM4373"
Surgeon,9360,"SM2162, SM3126"
Procurement Officer,4008,SM3209
Surgeon,11899,"SM2567, SM2092, SM3516, SM2149, SM1877"
Hospital,42801,"SM4954, SM1618"
Surgeon,4374,"SM1661, SM4623, SM2861"
Surgeon,9273,"SM2147, SM3720, SM3138"
Hospital,46709,"SM2618, SM2743"
Procurement Officer,2407,SM2833
Hospital,14946,"SM5197, SM3405, SM3257, SM3711"
Clinic,14402,"SM4401, SM1849"
Hospital,37418,"SM2589, SM1940, SM2135"
Clinic,5633,"SM5171, SM3710, SM2563, SM4634"
Procurement Officer,3566,"SM1666, SM1758, SM5175, SM2754, SM3782"
Procurement Officer,8954,"SM1410, SM3514, SM4205"
Procurement Officer,4211,"SM3564, SM2115, SM3071, SM1613, SM4685"
Hospital,36468,"SM3029, SM4359"
Hospital,40479,"SM3293, SM2083, SM2005, SM1954, SM2480"
Hospital,40732,"SM3064, SM4827, SM4857, SM1758, SM1872"
Procurement Officer,9776,"SM3578, SM3786, SM2793, SM4868"
Surgeon,10413,"SM4696, SM2557, SM2877, SM4459, SM1609"
Clinic,12471,"SM4343, SM4688, SM4245"
Clinic,19392,"SM4252, SM4646"
Surgeon,4140,"SM2031, SM2107"
Hospital,31253,"SM2591, SM2147, SM2011, SM4822"
Surgeon,14548,"SM3758, SM4668"
Procurement Officer,3276,SM1913
Surgeon,5983,"SM3064, SM3573, SM1624, SM4967"
Hospital,40514,SM4242
Clinic,13194,"SM4679, SM2754"
Surgeon,11161,SM2142
Surgeon,12598,"SM3003, SM4810, SM1979, SM3133"
Hospital,13358,"SM4210, SM3236"
Surgeon,8429,SM5103
Procurement Officer,2441,"SM3030, SM3242, SM4680, SM3706"
Clinic,13130,"SM3232, SM1799, SM1963"
Procurement Officer,6717,"SM1821, SM4413, SM3204"
Procurement Officer,2372,"SM2659, SM4612, SM2120, SM4873, SM1972"
Hospital,36570,SM1958
Surgeon,9450,SM3059
Clinic,10940,"SM4621, SM3258, SM4895, SM4324"
Procurement Officer,5134,"SM3706, SM2634"
Surgeon,9981,SM1753
Surgeon,4709,SM5221
Surgeon,14834,"SM3720, SM4633, SM2447, SM4324, SM5109"
Procurement Officer,2596,SM3263
Hospital,13581,"SM3160, SM4658"
Hospital,38931,"SM1997, SM2551"
Clinic,6607,"SM3135, SM3556, SM4552, SM2138"
Surgeon,7877,"SM3720, SM4491, SM2883"
Hospital,42296,SM5173
Clinic,9149,"SM4805, SM4669, SM4272, SM3284"
Hospital,41207,"SM6150, SM5197, SM4826, SM2701"
Surgeon,9235,SM4626
Hospital,13352,"SM3749, SM1797, SM4638"
Hospital,24791,"SM1749, SM2015"
Hospital,45770,"SM2660, SM2460, SM1845"
Hospital,12103,"SM2454, SM1024, SM4827, SM4995, SM3627"
Procurement Officer,3102,"SM4518, SM4694, SM2716, SM1977"
Procurement Officer,8921,"SM2457, SM2046, SM3099, SM2447"
Clinic,19655,"SM2141, SM4872, SM2824"
Surgeon,10237,"SM4449, SM4255, SM1807, SM1992, SM2849"
Hospital,43250,"SM4249, SM3261"
Hospital,19783,"SM4628, SM1816, SM4346, SM2762, SM5124"
Hospital,21234,"SM2151, SM4544, SM3096, SM1833, SM2750"
Hospital,42255,"SM2831, SM4824, SM2842, SM2121, SM4998"
Procurement Officer,5854,"SM4615, SM4303, SM2845, SM3503"
Surgeon,9065,SM1410
Clinic,15945,"SM1839, SM4688"
Surgeon,3851,"SM4425, SM0747, SM1822"
Procurement Officer,6070,"SM4822, SM1888"
Procurement Officer,7674,"SM4823, SM1677, SM5181, SM2809, SM4204"
Procurement Officer,6045,"SM3701, SM4541, SM4611"
Procurement Officer,3694,SM2626
Hospital,29414,"SM4657, SM3152, SM2754"
Procurement Officer,6270,"SM1961, SM5137, SM2083"
Procurement Officer,6631,"SM1838, SM4630"
Hospital,43274,"SM1853, SM3646, SM2475, SM4272"
Hospital,39292,"SM2586, SM4336, SM2107"
Hospital,17267,"SM2629, SM1610, SM2441, SM5156"
Hospital,23770,SM3563
Surgeon,8296,SM3106
Surgeon,6120,"SM3505, SM4876, SM3855, SM3731, SM3286"
Hospital,21756,"SM3138, SM3735, SM1951"
Hospital,11402,"SM2483, SM4246"
Procurement Officer,7826,"SM1712, SM2888, SM2552, SM4435"
Clinic,6662,"SM1405, SM2048"
Hospital,11431,"SM1958, SM1708, SM5130"
Procurement Officer,2119,"SM5039, SM1988, SM1767, SM4222, SM3282"
Procurement Officer,6475,"SM5048, SM3258, SM4892"
Procurement Officer,3618,"SM4691, SM2868, SM4698, SM2120"
Clinic,9242,"SM2115, SM1856, SM4551, SM2836"
Surgeon,3596,"SM3515, SM5151, SM1637"
Hospital,31589,"SM4517, SM1649"
Clinic,13567,"SM4502, SM2462, SM3158"
Procurement Officer,4202,"SM2574, SM3646, SM2879, SM2588, SM2052"
Clinic,7265,"SM2112, SM1926, SM3106, SM3715"
Clinic,5313,"SM2931, SM4522, SM3286, SM1842, SM2599"
Procurement Officer,2442,SM4308
Clinic,19654,"SM4955, SM3645, SM4508"
Clinic,15697,"SM4645, SM4484, SM3132, SM5144, SM4432"
Surgeon,7292,"SM1660, SM3785, SM2440"
Surgeon,3425,"SM4323, SM2147, SM2872"
Surgeon,10687,"SM1838, SM3701, SM3107, SM3726"
Procurement Officer,9184,"SM2164, SM3078, SM3749, SM1770, SM2636"
Hospital,19272,"SM4511, SM4871"
Surgeon,10849,"SM4477, SM3701, SM2882"
Procurement Officer,5920,"SM5110, SM2751"
Hospital,18708,SM1787
Surgeon,7163,"SM3030, SM1790"
Clinic,16166,"SM1659, SM4588, SM2119, SM2012, SM1630"
Hospital,49669,"SM1606, SM3275, SM3300, SM2473"
Surgeon,12591,"SM3112, SM2625, SM4693, SM5140"
Surgeon,10288,"SM4846, SM2568"
Procurement Officer,5786,"SM2582, SM4603, SM3557"
Procurement Officer,8216,"SM2114, SM3068, SM2141, SM1805, SM1789"
Clinic,8612,"SM2488, SM4621, SM4699"
Procurement Officer,7805,"SM4467, SM1785, SM2882, SM3001"
Clinic,10354,"SM5207, SM4518, SM5107, SM1789"
Clinic,8931,"SM4653, SM2444, SM5168, SM3219, SM2041"
Clinic,9770,SM3129
Procurement Officer,2138,"SM4225, SM5041, SM5192, SM3126, SM3274"
Clinic,14907,"SM5132, SM3100"
Procurement Officer,7256,"SM2458, SM2065, SM4982"
Clinic,10142,"SM3152, SM4484, SM3031, SM1623, SM3262"
Clinic,18916,"SM4445, SM2129"
Clinic,7340,"SM4687, SM4566, SM1678, SM1676, SM4827"
Clinic,18317,"SM4372, SM2939, SM4654, SM1749"
Hospital,33376,"SM1786, SM4672"
Procurement Officer,7523,"SM2107, SM4629, SM4658, SM4462, SM5211"
Hospital,40254,SM3730
Hospital,21000,"SM4973, SM3793, SM5209"
Clinic,18636,"SM2059, SM4366"
Procurement Officer,4136,SM2442
Surgeon,11947,"SM2782, SM1963"
Surgeon,10977,SM4328
Surgeon,3293,"SM2819, SM3540"
Surgeon,5568,"SM1626, SM3085, SM2566, SM2709"
Hospital,49369,"SM1781, SM2942, SM2496, SM2499"
Surgeon,9354,"SM1750, SM2807, SM4983, SM3342, SM2864"
Surgeon,8998,"SM4618, SM2453, SM1858"
Hospital,26996,SM3091
Hospital,24083,"SM4522, SM2938, SM2819"
Hospital,22659,"SM2662, SM1750"
Clinic,17726,"SM3281, SM1937"
Procurement Officer,8249,"SM2642, SM3156, SM5113, SM5226, SM4971"
Surgeon,4284,"SM4628, SM4599, SM2753"
Procurement Officer,7591,SM4546
Clinic,11533,"SM3518, SM2804, SM4428, SM1869, SM3270"
Clinic,5973,"SM4872, SM3139"
Clinic,15573,"SM3136, SM3628, SM2916, SM4311"
Hospital,12709,"SM4466, SM5038, SM5170, SM4461, SM4890"
Surgeon,13697,"SM5136, SM4989, SM4436, SM3116, SM1974"
Clinic,14123,"SM1076, SM3776, SM5108, SM3109"
Clinic,8306,"SM4618, SM3556"
Clinic,12002,"SM3758, SM2477, SM1775, SM4595"
Clinic,11537,"SM3738, SM4443, SM4321, SM1925"
Hospital,17859,"SM4231, SM2031, SM3204, SM1951"
Hospital,25759,"SM5173, SM2642, SM3766, SM1791"
Procurement Officer,2436,SM4325
Clinic,18483,SM2487
Procurement Officer,2861,"SM3184, SM4872, SM4445, SM4644"
Surgeon,6252,SM2116
Clinic,16681,"SM2082, SM4241, SM5194, SM2468, SM4980"
Clinic,11640,"SM2105, SM4251"
Hospital,27763,"SM4343, SM4811, SM3030"
Procurement Officer,3805,"SM4201, SM5137"
Surgeon,11446,SM4547
Procurement Officer,8665,"SM3276, SM1923, SM4405"
Clinic,17692,"SM1937, SM3545, SM3530, SM3272, SM4957"
Surgeon,9155,SM4428
Clinic,17662,"SM3218, SM4498, SM4303, SM4484"
Surgeon,14950,"SM2083, SM1777, SM1678, SM2079, SM3181"
Procurement Officer,9800,"SM1580, SM3792, SM5154"
Procurement Officer,5087,"SM4982, SM2164"
Surgeon,3501,SM4683
Hospital,21242,"SM4238, SM2857, SM1870, SM2694, SM4274"
Procurement Officer,2813,SM4591
Clinic,9124,SM4309
Clinic,11292,SM3107
Procurement Officer,9826,"SM2819, SM2753, SM3703, SM1791"
Procurement Officer,2430,"SM4683, SM2557, SM2455, SM2687"
Hospital,42439,"SM3268, SM2110, SM1879, SM1791, SM3256"
Procurement Officer,4610,"SM5224, SM1669, SM2058, SM5190, SM1858"
Procurement Officer,3506,"SM4592, SM3146, SM3214"
Procurement Officer,3748,"SM1694, SM4976, SM4796, SM1988"
Procurement Officer,2804,"SM4816, SM3723, SM5173, SM3092"
Clinic,6398,SM4673
Procurement Officer,5336,"SM1638, SM5167, SM5104, SM1404, SM3755"
Procurement Officer,6343,SM4358
Clinic,18596,SM4991
Surgeon,11808,"SM4960, SM3057, SM1689, SM2562, SM2859"
Surgeon,10441,SM4494
Surgeon,6945,"SM1623, SM2783, SM2155, SM2099"
Surgeon,7913,"SM3079, SM4671, SM2929"
Procurement Officer,8350,"SM5160, SM4878, SM2139"
Hospital,34317,"SM1765, SM4827, SM3501, SM3293"
Surgeon,7224,"SM4322, SM4838"
Procurement Officer,2022,"SM1872, SM3576, SM1915, SM2712, SM2484"
Hospital,48001,"SM4643, SM4860, SM3154, SM3130, SM2015"
Clinic,13247,"SM4886, SM1817, SM3744"
Surgeon,6336,SM4643
Hospital,19362,"SM4436, SM3539, SM4818"
Clinic,14385,"SM1684, SM4891"
Hospital,20590,"SM4835, SM3764, SM2168"
Hospital,32824,"SM4492, SM2838, SM2638, SM3254, SM3793"
Procurement Officer,5507,"SM4517, SM2633, SM4665"
Clinic,8820,"SM2843, SM3226"
Hospital,46168,"SM4345, SM4682, SM2816"
Surgeon,11302,SM4501
Clinic,10554,SM2066
Hospital,33959,"SM4512, SM4357, SM2804"
Clinic,9391,"SM4812, SM3717"
Clinic,5261,SM1521
Clinic,17912,"SM2171, SM4473"
Hospital,30337,"SM4624, SM2883, SM3224"
Procurement Officer,5235,"SM1405, SM2935, SM4419, SM5053"
Procurement Officer,4520,"SM3201, SM3296"
Procurement Officer,3663,"SM1796, SM2640, SM3550, SM2075, SM2008"
Hospital,38041,"SM3072, SM3204, SM3089"
Hospital,18575,"SM2588, SM4551"
Surgeon,7021,"SM5115, SM4822, SM3129, SM3704, SM3702"
Clinic,9241,"SM2155, SM2119, SM2802, SM3284, SM1868"
Surgeon,14885,"SM4964, SM4566, SM3533"
Clinic,9765,SM3544
Surgeon,3260,"SM1842, SM4857, SM3739, SM2467"
Hospital,31019,SM3738
Hospital,32725,"SM2921, SM4469, SM3517"
Procurement Officer,8050,"SM2754, SM3562"
Hospital,37363,"SM1622, SM2741, SM2116, SM4201"
Clinic,17679,"SM3747, SM3029"
Clinic,11649,SM1656
Procurement Officer,6912,SM2773
Clinic,7874,"SM6151, SM1806"
Hospital,10007,"SM3543, SM2103"
Surgeon,7858,"SM3089, SM1651, SM3754"
Hospital,39189,"SM1658, SM4865"
Surgeon,5377,"SM3292, SM3296"
Surgeon,3857,"SM2753, SM4670, SM3145"
Procurement Officer,9816,"SM2724, SM3129, SM1915, SM4419, SM2725"
Procurement Officer,3927,"SM1792, SM2883, SM4897"
Surgeon,10753,"SM2568, SM4657"
Procurement Officer,5515,"SM2055, SM2727, SM2122"
Clinic,10842,"SM0745, SM4597, SM4444, SM2620, SM3545"
Procurement Officer,5479,"SM4312, SM2487, SM2693"
Procurement Officer,8284,"SM4345, SM4804"
Hospital,26383,SM2003
Clinic,9189,"SM3535, SM3760"
Surgeon,12529,SM3139
Hospital,11919,"SM1629, SM2757, SM1645"
Procurement Officer,5511,"SM4414, SM2001, SM1839, SM5181, SM2067"
Surgeon,9258,SM2817
Hospital,34461,"SM4843, SM1849, SM5162"
Hospital,32539,"SM4950, SM1782, SM3082"
Clinic,10306,"SM2718, SM3005, SM4216, SM2016"
Procurement Officer,3047,"SM2126, SM2615, SM1777, SM1663"
Hospital,31142,"SM4568, SM4225, SM3127, SM5192"
Clinic,16784,"SM3122, SM2602"
Clinic,18514,"SM5036, SM3784, SM1405, SM1647"
Surgeon,4809,"SM1629, SM5206"
Hospital,37128,"SM4414, SM2092, SM2550, SM2560"
Surgeon,12890,"SM4210, SM2709, SM4413, SM2791"
Clinic,7569,"SM2661, SM1939, SM5103, SM1813"
Hospital,31082,"SM4465, SM4521, SM2751, SM3739, SM1771"
Hospital,35976,"SM2116, SM2945, SM4693, SM3203"
Procurement Officer,5831,"SM4588, SM4647, SM5123, SM2554"
Surgeon,6655,SM2758
Hospital,14251,SM1962
Procurement Officer,6521,"SM2793, SM1885, SM5194, SM2143, SM2498"
Procurement Officer,7598,"SM4977, SM3201"
Clinic,7316,SM4822
Procurement Officer,6542,"SM5169, SM2449"
Hospital,11243,SM4569
Procurement Officer,5707,"SM2131, SM2070"
Hospital,36989,"SM4413, SM2444"
Hospital,45494,"SM1965, SM2058, SM2813"
Surgeon,14528,SM2148
Hospital,42693,SM1891
Clinic,17614,"SM3581, SM3743"
Surgeon,4905,SM2857
Procurement Officer,4920,"SM1778, SM5038, SM5195, SM3754, SM2757"
Surgeon,3777,"SM1629, SM1632"
Clinic,7668,"SM2136, SM2496, SM2828, SM3215, SM1953"
